epoch,loss
0,0.11099304185
1,0.00989972483447
2,0.00428493345669
3,0.00517012741261
4,0.00584416796814
5,0.00217418146563
6,3.19564118568e-05
7,0.0191312493276
8,0.0174353269887
9,0.00083025680095
10,0.000197138636365
11,5.1820136896e-05
12,0.0
13,0.0018463323726
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.00194550927626
22,0.0
23,0.0
24,4.34297010626e-05
25,0.0
26,0.000658431000711
27,0.0
28,0.000127034405537
29,0.000444533278958
30,0.0
31,4.51115484618e-05
32,0.000111009373292
33,0.00027502544198
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,3.7257599518e-06
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,3.35998265838e-06
63,2.45568187052e-05
64,0.0
65,0.0
66,0.000168334217427
67,0.000152184815342
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.000184753471051
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
