epoch,loss
0,0.00992769289187
1,0.000402706866252
2,0.00163307429291
3,7.40016792762e-05
4,2.19871805228e-05
5,2.68851307795e-06
6,0.000125961217415
7,0.000224629400516
8,0.000189410376541
9,0.000117492900884
10,7.61132845853e-06
11,6.6582248249e-06
12,0.0
13,0.0
14,4.03382811458e-05
15,0.0
16,6.63551363222e-06
17,0.0
18,7.32470553448e-05
19,0.0
20,0.000334127342447
21,6.11755481743e-07
22,0.0
23,0.000686965859792
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,8.85989457527e-07
39,0.0
40,1.38439095401e-05
41,0.0
42,0.0
43,8.59477704866e-05
44,0.0
45,0.0
46,0.0
47,0.0
