epoch,loss
0,-0.000455690696836
1,-0.0698714368034
2,-0.0803934417182
3,-0.0788557425428
4,-0.0953835364523
5,-0.0972343496066
6,-0.0980576260901
7,-0.0992138438726
8,-0.0971101100705
9,-0.0990206908452
10,-0.0957355607613
11,-0.0976139070241
12,-0.0980316943041
13,-0.0981743683521
14,-0.0994579200954
15,-0.0987866527286
16,-0.0968363297017
17,-0.0987901044617
18,-0.0981425650773
19,-0.0984891693569
20,-0.0994529271031
21,-0.0984640917277
22,-0.0988058559141
23,-0.0991055832114
24,-0.0992813511885
25,-0.099573451409
26,-0.0996595759309
27,-0.0993691275836
28,-0.0996592119558
29,-0.0996330346468
30,-0.099742822468
31,-0.0999574482948
32,-0.0998297887185
33,-0.0996290544817
34,-0.0995649970814
35,-0.10000000149
36,-0.099700127866
37,-0.0984845543526
38,-0.0980974864188
39,-0.0990290641341
40,-0.0998548102791
41,-0.0995634287267
42,-0.0992776506473
43,-0.0992169071607
44,-0.100000001392
45,-0.0998295109989
46,-0.10000000149
47,-0.0998867792525
48,-0.0994628688471
49,-0.100000000897
50,-0.0988045185048
51,-0.0997679448181
52,-0.099381317058
53,-0.0999567686112
54,-0.0994972822673
55,-0.0998085171254
56,-0.10000000149
57,-0.10000000149
58,-0.0997472391943
59,-0.0994483166312
60,-0.0996835857812
61,-0.0997873420221
62,-0.10000000149
63,-0.0994567452516
64,-0.100000001382
65,-0.100000001487
66,-0.10000000149
67,-0.10000000149
68,-0.10000000149
