Wall time,Step,Value
1513763150.6318705,0,0.7241252660751343
1513763162.6403372,1,0.15855129063129425
1513763174.5045848,2,0.13821347057819366
1513763186.40408,3,0.1419292688369751
1513763198.5151608,4,0.14928866922855377
1513763210.5187905,5,0.1357291042804718
1513763222.5417383,6,0.12250908464193344
1513763234.6692681,7,0.13286317884922028
1513763246.8925524,8,0.13074149191379547
1513763259.1152227,9,0.10502659529447556
1513763271.10426,10,0.09485739469528198
1513763283.0807009,11,0.09247410297393799
1513763295.1534262,12,0.0968763455748558
1513763307.009134,13,0.0862206444144249
1513763319.0407944,14,0.10609667003154755
1513763331.1623929,15,0.06449068337678909
1513763343.2078695,16,0.05500916764140129
1513763355.277037,17,0.08041966706514359
1513763367.3691714,18,0.05002763867378235
1513763379.4186237,19,0.06482592970132828
1513763391.472556,20,0.059190843254327774
1513763403.5891623,21,0.055176809430122375
1513763415.6302962,22,0.047225307673215866
1513763427.8431191,23,0.05232897400856018
1513763439.901531,24,0.05493767186999321
1513763452.0443945,25,0.06506834924221039
1513763464.0935297,26,0.0458931028842926
1513763476.2157211,27,0.04772935435175896
1513763488.2568314,28,0.04504160210490227
1513763500.3896449,29,0.03730737790465355
1513763512.3773398,30,0.04026541858911514
1513763524.518384,31,0.040733035653829575
1513763536.7266667,32,0.034657083451747894
1513763548.7927854,33,0.05363885685801506
1513763560.8988597,34,0.027910826727747917
1513763572.9329567,35,0.033379752188920975
1513763585.0036085,36,0.046630602329969406
1513763597.0708215,37,0.02998824417591095
1513763609.1851392,38,0.029167626053094864
1513763621.22469,39,0.02568848989903927
1513763633.2980945,40,0.019996078684926033
1513763645.3608322,41,0.02782292291522026
1513763657.3076174,42,0.04136769101023674
1513763669.33848,43,0.023956820368766785
1513763681.4520144,44,0.032124899327754974
1513763693.5492985,45,0.02085299789905548
1513763705.5864758,46,0.022558031603693962
1513763717.6425333,47,0.028098121285438538
1513763729.731982,48,0.030974004417657852
1513763741.7097306,49,0.029732534661889076
1513763753.753684,50,0.02403113804757595
1513763765.8226886,51,0.020218517631292343
1513763777.9854305,52,0.02029949426651001
1513763790.0840185,53,0.017462555319070816
1513763802.135543,54,0.03848063945770264
1513763814.2180614,55,0.021253107115626335
