Wall time,Step,Value
1515490660.521082,0,0.43115919828414917
1515490678.2638662,1,0.19268998503684998
1515490696.0470464,2,0.16863635182380676
1515490713.8236113,3,0.2036958485841751
1515490731.7143233,4,0.19133375585079193
1515490750.1711671,5,0.20926649868488312
1515490768.2848449,6,0.19052138924598694
1515490786.4933696,7,0.1983652412891388
1515490804.5296128,8,0.21015362441539764
1515490822.941238,9,0.1946244239807129
1515490841.40735,10,0.20044496655464172
1515490859.6605713,11,0.20108605921268463
1515490878.1173697,12,0.20428387820720673
1515490896.152848,13,0.20173728466033936
1515490914.395907,14,0.20494115352630615
1515490932.6002705,15,0.20058269798755646
1515490951.0067635,16,0.20394039154052734
1515490969.5109065,17,0.2031373679637909
1515490987.5503898,18,0.19253623485565186
1515491005.4595346,19,0.19783422350883484
1515491023.2905564,20,0.19860421121120453
1515491041.244815,21,0.19015909731388092
1515491059.2152548,22,0.19305828213691711
1515491077.1997368,23,0.19501495361328125
1515491095.2384803,24,0.19893668591976166
1515491113.1605446,25,0.19359594583511353
1515491130.9850395,26,0.18767279386520386
1515491148.9122884,27,0.19223183393478394
1515491167.098697,28,0.19565322995185852
1515491185.2455697,29,0.19600680470466614
1515491203.2857702,30,0.1981859654188156
1515491221.3827856,31,0.1894025206565857
1515491239.204641,32,0.20174437761306763
1515491257.1718903,33,0.17844493687152863
1515491275.1504917,34,0.19684498012065887
1515491293.0693755,35,0.19014927744865417
1515491311.0548136,36,0.18920768797397614
1515491328.8196828,37,0.168626606464386
1515491346.9402742,38,0.17308269441127777
1515491364.8912947,39,0.1735203117132187
1515491382.650752,40,0.16125477850437164
1515491400.353522,41,0.1727079302072525
1515491418.2430086,42,0.16404148936271667
1515491435.9069526,43,0.17646780610084534
1515491453.608712,44,0.1704142987728119
1515491471.5579956,45,0.1665894091129303
1515491489.6146688,46,0.16102346777915955
1515491507.6590576,47,0.15060362219810486
1515491525.657192,48,0.16270408034324646
1515491543.717559,49,0.13954415917396545
1515491561.7595785,50,0.1484939157962799
1515491579.6900995,51,0.1673283576965332
1515491597.6679237,52,0.16344615817070007
1515491615.367797,53,0.15515899658203125
1515491633.3616767,54,0.14962749183177948
1515491651.2341082,55,0.15409652888774872
1515491669.0309603,56,0.14761148393154144
1515491686.805858,57,0.1390632539987564
1515491704.3702064,58,0.13654100894927979
1515491722.2388709,59,0.15325109660625458
1515491739.8735864,60,0.14242881536483765
1515491757.8064516,61,0.12286313623189926
1515491775.5395885,62,0.13944505155086517
1515491793.5853755,63,0.12083317339420319
1515491811.7692833,64,0.13469061255455017
1515491829.9750643,65,0.11811632663011551
1515491847.9878838,66,0.12555436789989471
1515491865.9829519,67,0.12592442333698273
1515491884.0997832,68,0.10811200737953186
1515491902.2790906,69,0.0949997678399086
1515491920.3363166,70,0.11853401362895966
1515491938.2833757,71,0.10337656736373901
1515491956.2324784,72,0.09839029610157013
1515491974.116953,73,0.09900250285863876
1515491992.1451628,74,0.10158101469278336
1515492009.9815416,75,0.08990001678466797
1515492027.9301274,76,0.09344741702079773
1515492045.8773358,77,0.09827812761068344
1515492063.7698765,78,0.09382907301187515
1515492081.6845062,79,0.09038763493299484
1515492099.5854917,80,0.08445192873477936
1515492117.574272,81,0.086215540766716
1515492135.5424562,82,0.09157402813434601
1515492153.6786027,83,0.0838044062256813
1515492171.6756697,84,0.0766778439283371
1515492189.5903296,85,0.07502782344818115
1515492207.4207377,86,0.07581522315740585
1515492225.33546,87,0.06971403956413269
1515492243.3470514,88,0.08673368394374847
1515492261.3229718,89,0.08437568694353104
1515492279.1609426,90,0.07274743169546127
1515492297.2283058,91,0.06917496770620346
1515492315.1556458,92,0.07279530167579651
1515492333.084357,93,0.05860276147723198
1515492351.0482793,94,0.06461910158395767
1515492368.958532,95,0.07122177630662918
1515492386.88738,96,0.060158871114254
1515492404.7836933,97,0.06555134803056717
1515492422.7579243,98,0.07326863706111908
1515492440.6465604,99,0.05479316785931587
1515492458.5521257,100,0.06590843945741653
1515492476.2794273,101,0.07537461817264557
1515492494.3032193,102,0.05663326010107994
1515492512.3091407,103,0.05899307131767273
1515492530.266789,104,0.0616055428981781
1515492548.1045017,105,0.05006924271583557
1515492566.0085123,106,0.06043197587132454
1515492584.0185442,107,0.050143539905548096
1515492602.0031052,108,0.05675530061125755
1515492619.9436414,109,0.049551356583833694
1515492637.826178,110,0.0742773488163948
1515492655.7140453,111,0.05847860127687454
1515492673.698573,112,0.040218107402324677
1515492691.7174299,113,0.04752517491579056
1515492709.46979,114,0.04987321421504021
1515492727.4323618,115,0.05929246544837952
1515492745.3208272,116,0.06033444032073021
1515492763.3974764,117,0.03613298386335373
1515492780.9867864,118,0.05722825229167938
1515492798.649107,119,0.04572894796729088
1515492816.5655432,120,0.040822833776474
1515492834.4273853,121,0.0501583106815815
1515492852.3977876,122,0.033300332725048065
1515492870.483434,123,0.04326791316270828
1515492888.4293363,124,0.041359733790159225
1515492906.287073,125,0.03973737731575966
1515492924.3059916,126,0.03799080848693848
1515492942.2527108,127,0.039991337805986404
1515492960.2417274,128,0.0412822887301445
1515492978.1173317,129,0.04086184874176979
1515492996.0294802,130,0.037325020879507065
1515493013.8865523,131,0.02903904765844345
1515493031.750039,132,0.03420049324631691
1515493049.5771718,133,0.042065009474754333
1515493067.4535842,134,0.04415030777454376
1515493085.2655964,135,0.033255692571401596
1515493102.9940317,136,0.035022154450416565
1515493120.9744225,137,0.03620469570159912
1515493138.9519713,138,0.03448356315493584
1515493156.7228632,139,0.03648081421852112
1515493174.5870275,140,0.041691455990076065
1515493192.3463228,141,0.03694296255707741
1515493210.273167,142,0.02607734128832817
1515493228.0835598,143,0.03617186099290848
1515493245.9981518,144,0.03554563969373703
1515493263.7809854,145,0.029501894488930702
1515493281.7612524,146,0.03421559929847717
1515493299.5260317,147,0.036026619374752045
1515493317.4572577,148,0.030599260702729225
1515493335.4508746,149,0.03884417563676834
