epoch,loss
0,0.0826221383315
1,0.0491005935312
2,0.0439163256066
3,0.041180477899
4,0.0378312521259
5,0.0303952802141
6,0.0230902552886
7,0.0179437871848
8,0.0153560774659
9,0.0123916609412
10,0.00962745181526
11,0.00883543841772
12,0.00779062160326
13,0.00926371114643
14,0.00793700502829
15,0.00667713507782
16,0.00600722753767
17,0.00660824252807
18,0.00683913614828
19,0.00686750949602
20,0.00454757015072
21,0.0061794867447
22,0.00557897640373
23,0.00542256814102
24,0.00517969112785
25,0.00448862066003
26,0.00451976723079
27,0.00310342621579
28,0.00396885981948
29,0.00262688388071
30,0.00886863713875
31,0.00623417939931
32,0.0155211070453
33,0.00412275724557
34,0.00288917644495
35,0.00261083056395
36,0.00348615682737
37,0.00385284733623
38,0.00818818886457
39,0.00138119977405
40,0.0052311595295
41,0.00382880141759
42,0.00263053346794
43,0.00394482555035
44,0.00233149785263
45,0.00405574232057
46,0.00462556635234
47,0.00218472228314
48,0.00622126135157
49,0.00253069256827
50,0.00204230596305
51,0.00660379634514
52,0.00419917632321
53,0.00452699363516
54,0.00280573161082
55,0.00133244619767
56,0.000911820180074
57,0.00122488425003
58,0.00100967660722
59,0.0039023377973
60,0.00239078439427
61,0.00166080826769
62,0.00231807167168
63,0.00382040809491
64,0.00559443176162
65,0.00150530710319
66,0.00204384458449
67,0.0013153777211
68,0.00132298338686
69,0.000830859104237
70,0.00159500732225
71,0.00232204066117
72,0.00461241448253
73,0.00199437122703
74,0.00153607911366
75,0.00312438928975
76,0.00200196296546
77,0.00164449985167
78,0.00532400592963
79,0.00193653427265
80,0.0021066769154
81,0.000953228949192
82,0.00157839290782
83,0.00194671932517
84,0.00426121310151
85,0.00197901818641
86,0.00589029866905
87,0.0052048025003
88,0.00349004280204
89,0.00444425337134
90,0.00271057813598
91,0.00150867506455
92,0.00214541434293
93,0.00147906612439
94,0.00421163904614
95,0.006427778925
96,0.00220461805169
97,0.00314822425527
98,0.00347978761936
99,0.0012775131524
